Protein	Locations
A0A1Q9G026_BACLI	3974-4040
I2HST7_9BACI	4606-4674
F5B9D5_9BACT	1113-1181
A0A172XIS2_9BACI	3917-3983
A0A1W6HHP8_BACVA	1894-1960
A0A1U3L1B1_9MYCO	4419-4486
A0A1L5LRP6_9BACL	3058-3125
A0A1L3PSZ6_BACIU	4418-4485
Q1RS45_BACAM	4628-4696
A7Z4Y5_BACVZ	4418-4485
Q1RS73_BACAM	4418-4485
A0A1A0C9W7_9BACI	4413-4480
A0A142F671_BACAM	4628-4696
E1UUN1_BACAS	3923-3989
A0A172XHQ0_9BACI	1895-1961
S6FXC4_9BACI	1754-1821
A9EW96_SORC5	1234-1300	1340-1408
F8FQZ5_PAEMK	2671-2737
A9EW83_SORC5	1188-1255
A0A1C4SZU1_9ACTN	14-81
A0A080UJC2_BACIU	4483-4549
I0F4K0_9BACI	3969-4035
A7Z476_BACVZ	1892-1958
A0A142FEF0_BACAM	4511-4578
A0A0U1X188_9BACL	1754-1821
A0A1A0C8M3_9BACI	4627-4695
A0A1U3UXC4_9MYCO	1379-1447
A0A1R1S3N8_9BACI	4469-4535
B8I8J9_CLOCE	3429-3496
A0A1N7DLE5_9BACI	1754-1821
A0A1D8FKK4_BACIU	4466-4532
A0A1L3PS16_BACIU	1892-1958
I2C5E7_BACAM	1313-1380
B0B505_STRCU	5832-5898
A0A0X8KDN9_9BACI	3914-3980
A0A0U0C9E8_STREE	1752-1819
Q1RS63_BACAM	1754-1821
A0A0D7XQ79_BACAM	1613-1681
A0A0U0D1B9_STREE	1441-1509
A0A0H3E1N1_BACA1	4483-4549
A0A0D7XYV5_BACAM	1754-1821
A0A1D9FLH6_9CLOT	2238-2304
A0A136G777_BACIU	3992-4058
A0A1U3MXM0_9MYCO	1754-1821
A0A1N7H9K6_9BACI	1349-1417
A0A1W6HHG4_BACVA	1754-1821
S6G1T3_9BACI	3921-3987
A0A1E4Y055_9BACI	3995-4061
A7Z4Y6_BACVZ	3921-3987
I2C4I8_BACAM	1893-1959
A0A0E1LS11_9BACI	4418-4485
A0A1R1B6M6_PAELA	2663-2729
A0A172XIQ7_9BACI	4418-4485
V9G6Y8_9BACL	630-696
A0A163DU51_9BACL	2676-2741
W7Y8P5_9BACL	328-396
L8ALD9_BACIU	3961-4027
A0A0X8KDN0_9BACI	4414-4481
M4KYE9_BACIU	187-253
A0A1L3PST0_BACIU	3917-3983
A0A136G794_BACIU	4470-4536
A0A0F6Y0J3_BRELA	2846-2914
Q0PEX7_BACIU	1752-1819
A0A1S6KMD5_BACAM	4646-4714
A0A1W6HIW0_BACVA	4418-4485
A0A1D9PJ30_9BACI	1892-1958
A0A142FG47_BACAM	1754-1821
A0A162Q3U2_BACIU	3961-4027
Q0PEX5_BACIU	1873-1939
A0A075R1B0_BRELA	2846-2914
A0A0E1LPJ9_9BACI	4627-4695
A0A1R1S3K2_9BACI	3996-4062
A0A080URI7_BACIU	4027-4093
L8Q2C5_BACIU	2039-2104
E0TV42_BACPZ	4470-4535
A0A1V4FWV4_9BACI	3998-4064
A0A1S2F849_9BACL	2662-2728
G4EW23_BACIU	3965-4031
A7Z6D5_BACVZ	4628-4696
H0UFN0_BRELA	2852-2920
A0A1D2I730_9ACTN	5746-5812
A0A142FEF1_BACAM	3917-3983
A0A1N7DLI7_9BACI	1892-1958
A0A150FAK7_9BACI	4420-4487
A0A1N7E0U3_9BACI	4417-4484
A0A1A5VJ25_BACAM	4418-4485
A0A1D8FKL2_BACIU	3961-4027
A0A0D7XW31_BACAM	1892-1958
I2C7E3_BACAM	1362-1430
S6FTA1_9BACI	4628-4696
A0A1U3L0Z5_9MYCO	3916-3982
A0A0K6K6Z9_BACCE	3992-4058
A0A1D9PL16_9BACI	4628-4696
Q1RS72_BACAM	3921-3987
A0A0T8PUH7_STREE	3963-4029
U5UA70_BACIU	3977-4043
A0A142FG49_BACAM	1891-1957
A0A1S6KMB7_BACAM	1893-1959
A0A1D9PIV3_9BACI	1754-1821
S5V790_STRC3	5832-5898
A0A0M0L3C8_9BACL	4470-4536
G4NVE6_BACPT	4470-4536
A0A0T8PVD0_STREE	1380-1446
S6FJV2_9BACI	1892-1958
A0A0K6KJ96_BACCE	2039-2104
A0A1G4LJC7_BACIU	3992-4058
A0A1V4FWT6_9BACI	4471-4537
A0A172XHL8_9BACI	1754-1821
Q2N3S9_SORCE	3999-4066
L8PZ43_BACIU	1892-1957
A0A1R1EYI6_9BACL	3053-3119
I2HQK3_9BACI	1892-1958
A0A0U0C8Q9_STREE	1892-1958
A7Z474_BACVZ	1754-1821
A0A1R1QP33_9BACI	3996-4062
B0B502_STRCU	1395-1462
Q2N3T0_SORCE	1234-1300	1340-1408
PKSL_BACSU	3967-4033
A0A0X8KE79_9BACI	1754-1821
A0A1R1WFB1_9ACTN	3629-3696
A0A0U0CFN6_STREE	3919-3985
A0A150L0J9_BACVA	4020-4086
U1ZCN0_9BACI	3961-4027
A0A1B6AJS4_9ACTN	6332-6399
A9EW91_SORC5	3999-4066
A0A0X8KE68_9BACI	1892-1958
PKSJ_BACSU	4466-4532
A0A177XIL4_9BACL	2846-2914
A0A164SD78_BACIU	4466-4532
L8AJZ7_BACIU	4466-4532
S5UMZ4_STRC3	1401-1468
J2H8G7_9BACL	6575-6641
A0A1A0CAV6_9BACI	3914-3980
M4KTD4_BACIU	736-802
I2C4I6_BACAM	1754-1821
A0A125UID0_9BACI	3965-4031
A0A1R1CWP5_9BACL	1173-1239
A0A0D7XVR7_BACAM	4418-4485
A0A1E4Y050_9BACI	4471-4537
C7PSF9_CHIPD	1116-1183
A0A0K6KGI3_BACCE	454-519
A0A1L3PS15_BACIU	1754-1821
A0A0U0CFF6_STREE	4419-4486
A0A0K6K6M3_BACCE	4470-4536
I2HRC0_9BACI	3916-3982
A0A074L8Z9_PAEPO	1737-1806
A0A0H3E374_BACA1	4027-4093
A0A1D2I6Z2_9ACTN	1409-1475
A0A0E1LN56_9BACI	3916-3982
E1UUN0_BACAS	4418-4485
I2HQK1_9BACI	1754-1821
A0A150FAC2_9BACI	3919-3985
W4BHI6_9BACL	2676-2741
A0A1L3PUL2_BACIU	4628-4696
A0A1W6HIM2_BACVA	3917-3983
A0A0X8KJL0_9BACI	4626-4694
A0A0A0TX16_BACIU	3923-3989
A0A1U3X1N7_9MYCO	267-333
A0A0E1LMD5_9BACI	1754-1821
A0A0E1LMN5_9BACI	1892-1958
I2HRB9_9BACI	4418-4485
A0A0M0L2A8_9BACL	3992-4058
J8AFP3_BACCE	565-632
A0A1A0G9Q7_BACIU	3220-3286
A0A1W6HKF4_BACVA	4628-4696
A0A150KYP0_BACVA	4483-4549
Q1RS61_BACAM	1892-1958
A0A0U1X167_9BACL	1891-1957
G4NVE7_BACPT	3992-4058
A0A1N7E0Y3_9BACI	3921-3987
A0A132BHV6_9BACI	4471-4537
A0A0A0TPD8_BACIU	4418-4485
A0A132BHC7_9BACI	3995-4061
U5U6Q4_BACIU	3971-4037
