Protein	Locations
A7Z6D7_BACVZ	332-397
A0A0K0PDE8_9BACT	3358-3422
A0A177RID7_RALSL	1419-1484
L8ALD9_BACIU	1799-1864
I7LHY7_9BURK	3258-3335
I8TNB6_9FIRM	21-87
A0A1S2F849_9BACL	1399-1462
E3E976_PAEPS	2852-2918
I2HRC0_9BACI	1774-1838
A0A0U0CFN6_STREE	1767-1832
A0A1D7MDT8_PAEPO	2867-2932
Q4U446_SORCE	3761-3825
A0A0K2FBH4_9BACL	2867-2931
A0A1D8FKI1_BACIU	2193-2258
A0A1R1JHA8_9BURK	3285-3350
Q1RS71_BACAM	2163-2228
A0A1C3CDS4_PAEPO	1716-1782
G4EW23_BACIU	1799-1864
A0A1R1DDJ4_9BACL	284-348
A0A0F6EP06_PAEPO	1600-1665	5611-5677
A0A109WEA6_9BACI	2154-2219
A0MS25_9GAMM	3022-3087
I2C7E6_BACAM	332-397
A0A1R1B6D7_PAELA	470-535
A0A0S4TVG7_RALSL	1385-1451
A0A1N7GEH0_9BACI	1875-1940
L8JV18_9BACT	1417-1481
F2LA08_BURGS	6539-6604
A0A0F6EP04_PAEPO	504-569
A0A1L3PST0_BACIU	1768-1832
B8I8K2_CLOCE	553-618
A0MS29_9GAMM	3657-3723
A0A1C3CDN3_PAEPO	503-568
A0A0D7XVT5_BACAM	1768-1832
A0A0U1L2U8_9FIRM	124-188
A0A1B4K5C6_BURTH	2874-2939
H0KB06_9PSEU	1023-1089
H6NF46_9BACL	482-546
A0A125UHY7_9BACI	2191-2256
A0A0M9EB29_9DELT	11339-11404
A0A1L5LRP6_9BACL	60-124	1747-1811
A0A125SL20_9CYAN	4470-4536	1619-1684
A0A1D9FM43_9CLOT	1524-1590
A0A0C5PRK7_9FIRM	2892-2957	1395-1461
S5V790_STRC3	825-890
A0A0K0PEG6_9CYAN	3320-3384
A0A0B2FEI7_9BACL	64-131
E1UUN1_BACAS	1768-1832
A0A1R1EB16_9BACL	503-568
A0A162Q3S9_BACIU	2193-2258
A0A1U3L0P2_9MYCO	301-366
U5UA70_BACIU	1811-1876
A9GJ35_SORC5	1613-1679
A0A0K0PDD3_9BACT	447-513	2708-2773
I0BFW4_9BACL	482-546
A0A1U3X669_9MYCO	332-397
A0A0X8KE68_9BACI	543-608
A0A0W0UC77_9GAMM	1978-2043
L8PZ43_BACIU	544-609
A0A0W1ABK0_9GAMM	1966-2031
A0A163DU51_9BACL	1402-1465
A0A1T4ZNU5_9CYAN	3311-3375	6788-6853
A0A1N7HN38_9BACI	332-397
E1UUN2_BACAS	2165-2230
V9G868_9BACL	105-168
A0A0T8PU81_STREE	2195-2260
A9EAB7_9FLAO	794-858
F2LA07_BURGS	3655-3719
B0B505_STRCU	825-890
A0A0K0PEE9_9CYAN	3379-3443	6924-6989
F1TIW7_9FIRM	174-239
A0A0D6BIC9_9PSED	3156-3233
A0A100J5P2_9ACTN	4121-4186
A0A1L3PS16_BACIU	543-608
F6GBC3_RALS8	1417-1482
X0MS98_STRA9	1091-1158
C0ZGQ5_BREBN	5328-5392
D0U2E4_STRPT	445-511
Q2T4N9_BURTA	2553-2619
S6G1T3_9BACI	1768-1832
A0A163QRY8_9BACL	3769-3835
C7PSG3_CHIPD	4760-4825
A0A1V1NWR1_9DELT	132-196
A9EAA7_9FLAO	1569-1634
A0A142FEF2_BACAM	2163-2228
C7PSF8_CHIPD	3100-3164
A0A0K1JVI8_9BURK	2410-2476
W4M0F4_9BACT	1434-1499
Q1D5F8_MYXXD	2132-2198
H0KBQ2_9PSEU	1023-1089
A0A0S4TNK7_RALSL	5128-5192
A0A0U0C8Q9_STREE	543-608
Q1RS53_BACAM	332-397
A0A1V1P2K6_9DELT	795-859
F5B9D1_9BACT	4759-4824
G4NVE7_BACPT	1812-1876
A0A0F6Y0J3_BRELA	1591-1656
A0A0W0ZH70_9GAMM	1969-2033
B8I8K0_CLOCE	2361-2426
A0A1S1X5C8_9NEIS	2265-2330
H0UFN0_BRELA	1597-1662
A0A1A0G181_PAEPO	72-138	4069-4135
S6FKH5_9BACI	2170-2235
A0A0E1LN49_9BACI	2163-2228
A0A1D7MDU0_PAEPO	1605-1670	5596-5661
A0A1A0CAV6_9BACI	1766-1830
A0A1E3L417_9BACL	61-127	1678-1743
Q4KCD7_PSEF5	3123-3200
A0A0D7XQ28_BACAM	1875-1940
A0A0A2TRW4_9BACL	1792-1856
A0A0D7XZK3_BACAM	2164-2229
H8GC79_9PSEU	1023-1089
A0A0C5Q128_9FIRM	66-132
A0A1S1X592_9NEIS	1419-1484
A0A1U3L0Z5_9MYCO	1768-1832
A0A097NYY6_9GAMM	1976-2040
A2CLL1_9GAMM	3012-3077
A0A0J6G723_9XANT	2547-2613	2657-2722
A0A172XHQ0_9BACI	544-609
A0A0W0S209_FLUBO	1973-2037
A0A1W6HJZ6_BACVA	332-397
B2WW47_9ACTN	1404-1468
G4EW22_BACIU	2134-2199
A0A1D9FM75_9CLOT	1834-1899
A0A1W6HIN9_BACVA	2163-2228
A0A023BPQ3_9FLAO	2326-2391
A0A1D9PJ30_9BACI	543-608
A0A1E7LT40_9ACTN	21-85
A0A0W0ZQ48_9GAMM	2016-2081
A0A0K0PDE3_9CYAN	2683-2748
X0MVE3_STRA9	42-107
I8TXY0_9FIRM	4021-4086
F2LA06_BURGS	2472-2537
I0F4K0_9BACI	1804-1869
A0A163DTY3_9BACL	469-535
A5G644_GEOUR	3013-3078
A0A1R1EAX6_9BACL	1716-1782
A0A089HLX4_PAEDU	1455-1520
A0A074L4V9_PAEPO	460-525
A0A1R1EQA3_9BACL	1793-1857
A0A1C3CDR0_PAEPO	3339-3404
A0A1N7E0Y3_9BACI	1768-1832
A0A0S4TPR7_RALSL	3271-3347
A0A172XIS2_9BACI	1768-1832
K9EIF2_9CYAN	4445-4511	1589-1654
E3E974_PAEPS	1716-1782
A0A1R1S3K2_9BACI	1822-1888
E0RFQ2_PAEP6	503-568
A0A1H6ERL5_9BURK	225-291
A0A1P8TAU8_9ACTN	1394-1458
I9NLE0_9FIRM	519-584
A0A1E1VJA6_9BACL	2326-2390
C0ZGQ6_BREBN	1464-1530	3066-3132
A0A1A0C7A7_9BACI	1875-1940
A0A177RV35_RALSL	3156-3221
A0A1D9PL07_9BACI	332-397
J7FF93_BURGA	2493-2558
A0A0H3E374_BACA1	1817-1883
D8MZG6_RALSL	3384-3461
I7J4E8_9BURK	5140-5205
A0A0C5VK82_9GAMM	2452-2518
A0A1D7MDT3_PAEPO	504-569
A7Z4Y6_BACVZ	1768-1832
Q5MP00_9BACT	2991-3057
A0A1R1ENW0_9BACL	611-676
K2JKC4_9PROT	3320-3386
A0A0C5V8K3_9GAMM	1796-1861
J7FGD9_BURGA	104-168
W4BH68_9BACL	469-535
A0A0L0JTQ0_9ACTN	1405-1471
A0A0W0SFX1_9GAMM	1987-2052
A0A1E4XQH7_9BACI	3100-3165	1500-1564
A0A1L3PUK1_BACIU	1875-1940
A0A132BE53_9BACI	3100-3165	1500-1564
A0A0W0RUG3_9GAMM	1992-2056
L8ALN3_BACIU	2193-2258
B8I8J8_CLOCE	548-613
E3E975_PAEPS	1602-1668	5618-5684
E0RFQ5_PAEP6	2869-2933
A0A1D9PL10_9BACI	1875-1940
I9LGX3_9FIRM	44-110
Q4KCD8_PSEF5	5092-5156
A0A0C5VQN4_9GAMM	7415-7480
A0A075R1B0_BRELA	1591-1656
A0A136G777_BACIU	1812-1876
A0A089HP03_PAEDU	2448-2513
A0A118NV07_BURGA	2480-2545
E0RFQ3_PAEP6	1716-1782
A0A0C5VN28_9GAMM	1207-1273	7756-7821
A0A177XIL4_9BACL	1591-1656
A0A1D2I730_9ACTN	782-847
A0A1B8UWF2_9BACL	60-124
S6FYE4_9BACI	332-397
A0A118NUX4_BURGA	3655-3719
A0A1A0C7K2_9BACI	332-397
A0A1E4Y055_9BACI	1815-1881
F8FQZ7_PAEMK	478-542
A0A124UC39_BURGA	6515-6580
I9NV79_9FIRM	170-235
Q5QGY3_9GAMM	3656-3722
J3AIK0_9BACL	1473-1539	3078-3142
A0A0C5VXD9_9GAMM	2984-3050	31-96
Q1RS72_BACAM	1768-1832
A0A0E1LRD1_9BACI	332-397
A0A0D6BIX4_9PSED	5095-5159
A0A1E5TDB6_9FLAO	2064-2130
A0A1C6M7M5_9ACTN	434-500
A0A1R1QP33_9BACI	1822-1888
A0A0Q6T6W1_9BURK	2265-2330	3480-3545	781-845
A0A0K2FAR2_9BACL	1716-1782
A0A109WG91_9BACI	332-397
A0A0C5QFG3_9FIRM	792-857
U5U6Q4_BACIU	1799-1864
D8P4C8_RALSL	5104-5168
A0A1C3CK11_PAEPO	2869-2933
A0A1W6HHP8_BACVA	543-608
A0A162Q3U2_BACIU	1799-1864
A5G642_GEOUR	3747-3812	5264-5330	2240-2306
A0A068PCT2_9BACT	1929-1995
Q8RL76_PSEFL	1842-1907
A0A132BHC7_9BACI	1815-1881
A0A1R1B6M6_PAELA	1401-1464
A0A1D9FLP1_9CLOT	77-142
A0A1W6HIM2_BACVA	1768-1832
U1ZCN0_9BACI	1799-1864
A0A1T4ZNN2_9CYAN	2683-2748
A1KQR7_9BURK	5073-5138
L8JT98_9BACT	2532-2597
L8PV10_BACIU	1807-1872
A0A172XKB3_9BACI	1875-1940
A0A1V1P6L4_9DELT	253-319
A0A0K1K5P6_9BURK	2289-2353	3828-3892
S6G265_9BACI	1875-1940
A0A0X8KDN9_9BACI	1766-1830
A0A1R1EYI6_9BACL	60-124	1741-1805
F5B9D6_9BACT	3102-3166
I2HRC1_9BACI	2170-2235
D7C9R5_STRBB	1407-1473
U1YVN7_9BACI	2193-2258
A0A1R1SEN8_9ACTN	789-855
A0A0F6EP07_PAEPO	2852-2917
W4BHI6_9BACL	1402-1465
A0A1Q9G026_BACLI	1801-1865
A0A1M7GHM9_9GAMM	5330-5395
E5ARM1_PARRH	5152-5217
A0A1G4LJC7_BACIU	1812-1876
A0MS26_9GAMM	4498-4564
A0A0E1LMN5_9BACI	543-608
A0A081NVN3_9BACL	2003-2067
A0A068PCE6_9BACT	3152-3216
A2CLL2_9GAMM	4501-4567
A1KQR8_9BURK	3260-3337
A0A1D8FKL2_BACIU	1799-1864
A0A0K9M6Q4_9BACI	1464-1530	3077-3143
A0A0C5Q0M9_9FIRM	32-97
A0A142F672_BACAM	1890-1955
F1TIX3_9FIRM	162-227
A0A1R3VWW8_9BURK	3258-3335
A0A0X3W7M4_9ACTN	1394-1458
A0A1E4Y0L0_9BACI	917-982
A0A0M9ECB3_9DELT	3365-3432	4873-4938
A0A1R1CWW4_9BACL	1637-1702
Q9Z5F4_MYXXA	2065-2131
