Protein	Locations
A9EW91_SORC5	2687-2755
A0A0D6BIX4_9PSED	1691-1757
A0A1C4UNY2_9ACTN	2472-2538
Q8GGP3_STRAZ	2551-2618
A0A1R3WBP7_9BURK	1721-1787
A0A0S4TNK7_RALSL	1704-1770
I7J4E8_9BURK	1714-1780
A1KQR7_9BURK	1646-1713
Q2N3S9_SORCE	2687-2755
Q4KCD8_PSEF5	1692-1758
E5ARM1_PARRH	1725-1792
D8MZG5_RALSL	1696-1762
A0A0F3IKS9_9GAMM	515-579
Q4U445_SORCE	2548-2614
L7UJI2_MYXSD	2361-2427
Q2UZ48_SORCE	2545-2611
G8YZM4_STIAU	2384-2452
A0A1D9FLH6_9CLOT	998-1063
J3DKV8_9BURK	3482-3548
A0A1R3W0U8_9BURK	1721-1787
D8P4C8_RALSL	1692-1758
A0A068PCE6_9BACT	1709-1775
