Protein	Locations
A0A132BHV6_9BACI	1665-1730
Q1D5F8_MYXXD	1000-1064
S6FXN1_9BACI	1652-1717
A0A1A5VJ25_BACAM	1652-1717
A0A136G794_BACIU	1666-1731
A0A080UJC2_BACIU	1660-1725
A0A1E4Y050_9BACI	1665-1730
Q1RS73_BACAM	1652-1717
G4EW21_BACIU	1017-1080
Q5MP00_9BACT	1823-1887
A0A1G4LJD9_BACIU	1018-1081
G4NVE9_BACPT	1018-1081
X5X1T6_9RHIZ	985-1049
A0A0C2IG32_9PSED	1030-1095
A0A142FEF3_BACAM	1008-1072
A0A0F3IIB9_9GAMM	62-125
G4EW24_BACIU	1663-1728
A0A1R1QP50_9BACI	1018-1082
A0A164SD45_BACIU	1017-1080
A0A1V4FX50_9BACI	1018-1081
A0A0H0SRV3_9BACL	1024-1087
A0A125UI37_9BACI	1017-1080
A0A1R1S3N8_9BACI	1664-1729
A0A0M0L275_9BACL	1018-1081
U2AQV6_9BACI	1662-1727
W7YFQ4_9BACL	1671-1735
A0A150FBU8_9BACI	1007-1071
A0A0D7XVR7_BACAM	1652-1717
PKSJ_BACSU	1662-1727
U5U6N9_BACIU	1662-1727
A0A0H3E1N1_BACA1	1660-1725
A0A1Q9FZY3_BACLI	1018-1081
A0A068PCG6_9BACT	2582-2647
A0A125UI43_9BACI	1662-1727
A0A1L3PSZ6_BACIU	1652-1717
D2JNV8_9NOSO	1725-1789	8147-8211
A0A0A0TPD8_BACIU	1652-1717
A0A0E1LS11_9BACI	1652-1717
A0A1E4Y035_9BACI	1018-1082
A0A0H3DZF8_BACA1	1017-1081
E1UUN0_BACAS	1652-1717
A0A0C5QFG3_9FIRM	2635-2700
A0A0C5VQJ2_9GAMM	792-856
W7YY16_9BACL	1021-1085
A0A1R1S3V0_9BACI	1018-1082
S6FS46_9BACI	1008-1072
R9S775_BURTH	1034-1097
A0A109WEC1_9BACI	1006-1070
A0A0K6K944_BACCE	1018-1081
A0A1A0CBU6_9BACI	1008-1072
A0A0A0TRQ0_BACIU	1010-1074
A0A0D5L6X2_9BURK	1024-1087
A0A0F6Y0Q5_BRELA	1028-1093	4888-4952
A0A150KZ21_BACVA	1017-1081
U1ZDZ1_9BACI	1017-1080
I2HRB9_9BACI	1652-1717
A0A0X8KDN0_9BACI	1650-1715
Q9Z5F4_MYXXA	933-997
A0A1G4LJB4_BACIU	1666-1731
J2H8G7_9BACL	1017-1080
A0A0E1LNE0_9BACI	1008-1072
A0A096YWS1_BURTA	1008-1072
C0ZGQ5_BREBN	1023-1086
E9KSM1_9PSED	1033-1098
U5U9S8_BACIU	1017-1080
L8AJZ7_BACIU	1662-1727
A7Z4Y5_BACVZ	1652-1717
Q1RS70_BACAM	1008-1072
A0A1A0C9W7_9BACI	1650-1715
A0A1W6R7T5_BACIU	1662-1727
A0A150KYP0_BACVA	1660-1725
A0A0B2C2C6_9XANT	1038-1103
A0A1N7E0U3_9BACI	1651-1716
U5U6Q0_BACIU	1662-1727
A0A080UH06_BACIU	1017-1081
PKSN_BACSU	991-1054
A0A1A0G9Q6_BACIU	1666-1731
U5U9S3_BACIU	1017-1080
A0A164SD78_BACIU	1662-1727
M4KRL9_BACIU	1018-1081
A0A0U0CFF6_STREE	1652-1717
D4NZD4_PSEFL	1030-1095
A0A0T8PUH6_STREE	1018-1081
A0A1U3L1B1_9MYCO	1652-1717
A0A1N7E0T8_9BACI	1006-1070
A0A1R1QP59_9BACI	1664-1729
A0A172XIE5_9BACI	1008-1072
A0A136G7A8_BACIU	1018-1081
I2HRC2_9BACI	1008-1072
E0TV42_BACPZ	1666-1731
A0A0D7XWX8_BACAM	1008-1072
A0A172XIQ7_9BACI	1652-1717
A0A1L3PST1_BACIU	1008-1072
A0A1D8FKK4_BACIU	1662-1727
L8ALE4_BACIU	1017-1080
M4KS28_BACIU	1278-1343
A0A1W6HIW0_BACVA	1652-1717
I2C5F0_BACAM	1008-1072
A7Z4Y8_BACVZ	1008-1072
A0A1D9PKS1_9BACI	1008-1072
A0A0M3V5J5_9NOSO	979-1043
L8Q1H6_BACIU	1666-1731
A0A1Q9FZW6_BACLI	1666-1731
A0A0K9M6D3_9BACI	1024-1087
A0A142FEF0_BACAM	1652-1717
A0A0M0L3C8_9BACL	1666-1731
Q2T4N2_BURTA	1081-1145
G4NVE6_BACPT	1666-1731
A0A0K6K6M3_BACCE	1666-1731
E1UUN3_BACAS	1010-1074
A0A1W6HIE2_BACVA	1008-1072
I0F4J9_9BACI	1662-1727
A0A1B4K586_BURTH	1008-1072
I0F4K2_9BACI	1018-1081
A0A104M3B4_9BURK	1025-1088
A0A0C5PUC2_9FIRM	1007-1072
A0A1D2PDD1_9CYAN	993-1056
A0A150FAK7_9BACI	1649-1713
D2SUE1_9BACT	2003-2066
A0A068PC15_9BACT	1748-1812
A0A075E6I9_9BURK	1050-1115
A0A0U0CFF1_STREE	1007-1071
A0A132BHC2_9BACI	1018-1082
E0TV45_BACPZ	1018-1081
A0A1V4FWT6_9BACI	1667-1732
