Protein	Locations
A0A081NVN3_9BACL	439-505
A0A0G3BJ74_9BURK	2173-2239
A0MS26_9GAMM	3315-3383
A0A1R1B6D3_PAELA	2396-2463
A0A163DU34_9BACL	2408-2475
A0A0M9EB29_9DELT	10152-10220
A2CLL2_9GAMM	3318-3386
W4BGF4_9BACL	2412-2479
A0A068PF57_9BACT	6561-6629	6447-6514
R9UPA1_9BACL	2387-2453
A0A0J6BZU3_BREBE	2102-2169
C0ZGQ7_BREBN	1202-1269
V4GYJ4_9GAMM	1524-1586
A0A075R1B0_BRELA	416-483
H0UFN0_BRELA	422-489
A0A1S2DWD2_AGRVI	1445-1512
A0A1S2F7C6_9BACL	2392-2459
H6NF45_9BACL	2386-2452
A0A1R1DHA9_9BACL	397-464
A0MS25_9GAMM	1497-1565
E3E975_PAEPS	397-464
A0A0K9MKF6_9BACI	394-461
A0A177XIL4_9BACL	416-483
A0A0N0D6X2_9DELT	1553-1619
F8FQZ6_PAEMK	2386-2452
A0A0F6Y0J3_BRELA	416-483
A0A074L8Z9_PAEPO	497-563	400-467
A0A0F6EP06_PAEPO	397-463
A2CLL1_9GAMM	1490-1558
