Protein	Locations
A0A0A8FHD3_9GAMM	3548-3614
A0A1D9FM75_9CLOT	3342-3409
A2CLL2_9GAMM	2128-2196
S0AFM5_SERPL	1763-1830
R9S775_BURTH	5241-5309	5354-5421
A0A1E4Y035_9BACI	3986-4050
G4NVE9_BACPT	3983-4049
A0A1E3L5G9_9BACL	2281-2347
A0A1H6CMJ6_9BURK	806-872	666-732
A0A0K0PDE8_9BACT	2129-2196
A0A0U0D1B9_STREE	225-291
A0A0T8PUH6_STREE	3985-4050
A0A125SL22_9CYAN	3445-3513
A0A095G6H9_BURGA	7392-7459
A0A1R1B6D7_PAELA	4820-4886
A0A0E1LNE0_9BACI	3936-4002
Q1D5G0_MYXXD	2867-2933
A7Z4Y8_BACVZ	3935-4001
A0A1A0CBU6_9BACI	3935-4001
A0A1Q4P5E7_SERMA	3426-3493
I2C5F0_BACAM	3936-4002
M4KRL9_BACIU	3985-4050
A0A1E5QAJ5_9PROT	1532-1598
A0A104M3B4_9BURK	5207-5275	5320-5387
A0A0D7XWX8_BACAM	3935-4001
A0A0A0TRQ0_BACIU	3938-4004
I0F4K2_9BACI	3982-4048
A0A0C5QCG8_9FIRM	790-856	892-958	994-1060
A0A1Q9FZY3_BACLI	3983-4049
A0A0M2Q4L9_BURGA	2-59
A0A0M0L275_9BACL	3983-4049
A0A0C5Q128_9FIRM	1580-1646
A0MS26_9GAMM	2118-2186
K2IZ45_9PROT	1472-1539
A0A1N7H9K6_9BACI	132-198
E1UUN0_BACAS	3097-3164
A0A1Q5WBK7_SERMA	3447-3514
E0TV45_BACPZ	3985-4051
A0A109WEC1_9BACI	3936-4002
A0A1A5VJ25_BACAM	3097-3164
A0A1R1QP50_9BACI	3983-4047
A0A1H6ERY5_9BURK	60-125
A0A0D7XQ79_BACAM	396-462
K7WYZ2_SERPL	3468-3535
A0A090BVA3_9GAMM	1361-1428
A0A0F3IK35_9GAMM	17-83
A0A136G7A8_BACIU	3983-4049
E5FNF1_SORCE	500-567
V9G6Z8_9BACL	259-325
A0A1G4LJD9_BACIU	3983-4049
A0A125UI37_9BACI	3983-4048
A0A150FBU8_9BACI	3935-4001
U6ZD43_9GAMM	2782-2847
A0A0M7AG31_9RHOB	1545-1611
A0A1U3X6T5_9MYCO	541-607
I8RCD8_9FIRM	439-504
A0A0A0TPD8_BACIU	3097-3164
C6C2W2_DICP7	3588-3654
A0A0X8KDN0_9BACI	3094-3160
A0A0S4TVG7_RALSL	3969-4035
I9NPQ5_9FIRM	1720-1786
A0A1D9PKS1_9BACI	3935-4001
A0A1W6HIE2_BACVA	3934-4000
A0A1M7GHM9_9GAMM	2813-2878
A0A1R1S3V0_9BACI	3983-4047
E5FNE5_SORCE	1604-1671
A0A1N7E0T8_9BACI	3933-3999
A0A1L3PST1_BACIU	3935-4001
W4BH68_9BACL	4827-4892
K9F4Q6_9CYAN	3445-3513
D2SUE1_9BACT	6360-6428
A0A142FEF0_BACAM	3191-3257	3098-3164
E5FNE8_SORCE	2170-2238
A5G642_GEOUR	735-801
K7WEW6_SERMA	3419-3486
A0A0K6K944_BACCE	3981-4047
A0A1V4FX50_9BACI	3983-4049
I2HRC2_9BACI	3935-4001
A0A142FEF3_BACAM	3935-4001
A0A1A0C9W7_9BACI	3094-3161
A0A163DTY3_9BACL	4829-4894
S6FS46_9BACI	3935-4001
Q1RS70_BACAM	3935-4001
A0A0U0CFF1_STREE	3934-4000
E1UUN3_BACAS	3938-4004
A0A172XIE5_9BACI	3934-4000
A0A1S2F7C9_9BACL	4818-4884
I2C7E3_BACAM	146-212
A0A1A0G9N2_BACIU	2072-2138
A0A0D5L6X2_9BURK	5231-5299	5344-5411
Q6VT95_9BACT	6335-6401
A0A1U3UXC4_9MYCO	163-229
A0A132BHC2_9BACI	3986-4050
A0A0K0PEE9_9CYAN	2147-2214
