Protein	Locations
A0A142F671_BACAM	1977-2045
E5FNE7_SORCE	1828-1895
A0A1U3L0P2_9MYCO	1521-1587
A0A1I6PQA3_9BACL	1677-1745
I9AUT7_9FIRM	142-209
A0A1N7HND6_9BACI	1977-2045
J7X2J6_BACCE	958-1025
A0A089HP03_PAEDU	5140-5207	3598-3665
A0A1D9PL16_9BACI	1978-2046
V9G879_9BACL	288-355
Q4KCD4_PSEF5	1541-1608
A0A0D7XP71_BACAM	1977-2045
A0A0C2IG32_9PSED	2282-2349
A0A1T4ZDP6_9CYAN	3333-3400
A0A0E1LPJ9_9BACI	1977-2045
I2HST7_9BACI	1955-2023
I9B3E8_9FIRM	1735-1803
E5ARL7_PARRH	1570-1637
A0A1S1X592_9NEIS	4545-4611
D8P4D3_RALSL	1547-1614
J8A899_BACCE	106-173
A0A0K0PDC2_9CYAN	3342-3409
I0BFW4_9BACL	1270-1337	2524-2590
A0A0U1KU32_9FIRM	1470-1538
A9GJ37_SORC5	2176-2242
K9M8G5_9ACTN	258-325	2680-2746
A0A1E4XQH0_9BACI	27-95
A0A0C5V8K3_9GAMM	3072-3139	591-659
A0A1D2QU90_9GAMM	2479-2545
A2CLL1_9GAMM	4326-4392
A0A1Q9G013_BACLI	3417-3483
K7Z658_9PROT	2068-2134
A0A1R1JHA5_9BURK	1145-1211
V9TXE0_9PROT	2128-2194
I9NV79_9FIRM	1735-1803
C6C2W2_DICP7	1806-1873
A0A0K0PDC3_9CYAN	3422-3489
A0A0C5VN28_9GAMM	6561-6628
A0A0C5PUC2_9FIRM	2560-2627	3595-3663
A0A163DTY3_9BACL	2533-2599	1277-1343
G8YZM5_STIAU	2812-2878
A0A080UG74_BACIU	3476-3543
A0A1D9FLP1_9CLOT	1647-1714
A0A1R1QP45_9BACI	3423-3490
K9F4Q6_9CYAN	1707-1774
S6FTA1_9BACI	1977-2045
A0A1D8FKI1_BACIU	3417-3483
I9L963_9FIRM	391-459
A0A1Q4LMM6_RALSL	506-573
I9L8K9_9FIRM	142-209
A7Z6D5_BACVZ	1977-2045
A0A1U9VK12_9RALS	1551-1618
A0A1Q4P5E7_SERMA	1695-1762
C7PSF8_CHIPD	2084-2152
F8FQZ7_PAEMK	1266-1333	2519-2585
A0A1E1VJ64_9BACL	2523-2590
K9LLG2_9PROT	1960-2026
A0A172XKF2_9BACI	1977-2045
D4NZD4_PSEFL	2282-2349
A0A1W6HKF4_BACVA	1977-2045
A0A1S2F7C9_9BACL	2535-2603	1271-1338
A0A0X8KJL0_9BACI	1978-2046
K7WYZ2_SERPL	1718-1786
A9GJ42_SORC5	4845-4912
A0A0D6BHQ7_9PSED	1530-1597
A0A1R1S3N4_9BACI	3423-3490
A0MS28_9GAMM	882-948
A0MS25_9GAMM	4336-4402
Q6VT95_9BACT	7603-7669
S0AFM5_SERPL	12-80
A0A0H3DZ12_BACA1	3476-3543
A0A150KYR7_BACVA	3478-3544
A0A1S1X584_9NEIS	2788-2854
A0A0A8FGA3_9GAMM	2982-3047
A0A1Q5WBK7_SERMA	1707-1775
G4NVE8_BACPT	3412-3478
U6ZD43_9GAMM	984-1051
A0A162Q3S9_BACIU	3417-3483
Q1RS45_BACAM	1977-2045
A0A086MQG3_9ACTN	1734-1802
F5B9D6_9BACT	2085-2153
U6ZFS1_9GAMM	1401-1467
A0A0K0PDD1_9BACT	6580-6647
A0A0A2TQW6_9BACL	2914-2980
A0A086MU66_9ACTN	1029-1097
D8MZH0_RALSL	1551-1618
A0A0T8PU81_STREE	3419-3485
I2C7E4_BACAM	1977-2045
A0A1R1B6D7_PAELA	1271-1339	2535-2602
G2ZRP1_9RALS	1551-1618
A0A1R3VWH6_9BURK	1557-1625
E5FNE4_SORCE	5437-5504
I0F4K1_9BACI	3418-3484
C7PSF7_CHIPD	1692-1759
A0A177RIQ3_RALSL	1547-1614
A2CLL4_9GAMM	882-948
A0A1D9FLT7_9CLOT	3139-3206
A0A124UC39_BURGA	5009-5076
Q5QGY3_9GAMM	2477-2543
A0A086MU67_9ACTN	258-325
A0A1S1X5B1_9NEIS	1949-2015
U5U6S4_BACIU	3420-3486
A0A1Q5WBL9_SERMA	2862-2927
F6GBC1_RALS8	1546-1613
L8ALN3_BACIU	3417-3483
A0A1A0C8M3_9BACI	1978-2046
S0ADM5_SERPL	2498-2563
F1TIW5_9FIRM	223-290
A0A125UHY7_9BACI	3415-3481
A0A1G4LJI2_BACIU	3412-3478
A5G644_GEOUR	1967-2033
A0A125SL22_9CYAN	1703-1770
A0A0S4TQ75_RALSL	1553-1620
A0A1L3PUL2_BACIU	1977-2045
A0A1V4FWR2_9BACI	3412-3478
A9GJ35_SORC5	2896-2963
D2SUE1_9BACT	9059-9126
A1KQS1_9BURK	1404-1471
A0A0A8FHD3_9GAMM	1764-1831
A0A0M0L281_9BACL	3412-3478
G4EW22_BACIU	3358-3424
I7LFI3_9BURK	1565-1633
A0MS29_9GAMM	2479-2545
K7WEX1_SERMA	2863-2929
A0A0K6K8U1_BACCE	2126-2192
PKSM_BACSU	3417-3483
A0A0A0TQG6_BACIU	3385-3451
F2LA08_BURGS	5033-5100
E0TV44_BACPZ	3413-3479
M4KVF4_BACIU	900-966
C6C2W7_DICP7	3029-3094
A2CLL5_9GAMM	2477-2543
A0A1R1ETE3_9BACL	1964-2030	411-477
A0A1R3WBC0_9BURK	1557-1625
K7WEW6_SERMA	1688-1755
L8JSV9_9BACT	4036-4102
U1YVN7_9BACI	3417-3483
E1UUN2_BACAS	3385-3451
A0A017T6E6_9DELT	3516-3583	2758-2825
F5B9D7_9BACT	1690-1757
A0A0M9ECB3_9DELT	1563-1628
A0A1E4Y038_9BACI	3425-3491
V9G5F3_9BACL	224-291
A0A132BHH3_9BACI	3425-3491
K9M8B5_9ACTN	538-605
I8TNB6_9FIRM	1575-1642
F1TIW0_9FIRM	1622-1689
A0A136G7A5_BACIU	3412-3478
J7FFR9_BURGA	4499-4566
K7WYZ4_SERPL	2899-2964
A0A1R1ET94_9BACL	2887-2953
H6NF46_9BACL	1270-1337	2524-2590
A0A1H6ENJ8_9BURK	697-764
W4BH68_9BACL	2531-2597	1277-1344
